symbol,Open,High,Low,Close,Volume,trade_count,vwap,bb_upper,bb_lower,bb_percent,RSI,Ultimate_Oscillator,MFI,Future_Close,Return,Signal
XOM,116.13,116.19,116.09,116.14,22502.0,383.0,116.151186,116.91902869113038,116.05940130886965,0.09376003230420843,29.760770555493682,39.29114381027792,35.11540324747276,116.6,0.003960737041501582,0
XOM,116.12,116.125,115.99,116.03,38690.0,661.0,116.03382,116.89979074982833,116.0016392501717,0.031576799503355006,27.01996083743998,33.15269794334642,34.9502745224148,116.48,0.0038783073343101166,0
XOM,116.04,116.18,116.02,116.11,21230.0,371.0,116.114758,116.85864594677527,115.97379405322478,0.15393078521727593,31.929868120005096,35.22119876247241,31.643630903593113,116.47,0.0031005081388338594,0
XOM,116.11,116.2,116.068,116.2,22866.0,410.0,116.138823,116.81702593066477,115.96241406933525,0.27800448532874134,37.060050393268305,47.61825224524021,38.44272575716604,116.58,0.0032702237521514237,0
XOM,116.19,116.24,116.135,116.22,58179.0,509.0,116.181706,116.74406770506948,115.97537229493051,0.31823749933053896,38.1751444058663,50.77741224972099,45.54623390213557,116.46,0.0020650490449147726,0
XOM,116.22,116.2205,116.11,116.22,44886.0,510.0,116.171376,116.69091768917681,115.98052231082318,0.33710479610920263,38.175144405866305,53.46178436017568,42.49336111978359,116.46,0.0020650490449147726,0
XOM,116.2,116.37,116.165,116.3648,23160.0,411.0,116.280242,116.65725943204183,115.99016056795813,0.5615950681559997,46.181335353356125,65.3115275296415,48.04263514905012,116.41,0.00038843361566379294,0
XOM,116.38,116.51,116.38,116.51,17155.0,448.0,116.42425,116.6463298145117,115.99509018548828,0.7906610586396088,52.78420705471167,69.33868023848044,53.0071384958526,116.54,0.0002574886275856247,0
XOM,116.52,116.635,116.52,116.53,68809.0,457.0,116.581136,116.63770354544762,115.99927645455237,0.8312985977825744,53.62812965309603,68.17347203408123,57.94506063343857,116.51,-0.00017162962327294277,0
XOM,116.515,116.62,116.51,116.56,33874.0,343.0,116.56385,116.64850303885899,115.994476961141,0.8646796482981365,54.92944973443008,68.25631007663064,59.17299776672876,116.64,0.0006863417982154967,0
XOM,116.5697,116.67,116.5697,116.6,29267.0,357.0,116.616555,116.6567431884235,115.99023681157648,0.9148647478934262,56.675228549621146,65.2607226019244,67.13571905231981,116.59,-8.576329331038512e-05,0
XOM,116.6,116.61,116.46,116.48,41410.0,402.0,116.519455,116.65949114564214,115.98948885435786,0.7321036838574407,50.37163316727408,58.48944899248891,63.135457581789545,116.48,0.0,0
XOM,116.47,116.49,116.4,116.47,33089.0,430.0,116.446762,116.66839894014933,115.98858105985065,0.7081586908803237,49.87381462062309,56.70376714867245,56.79016828865151,116.33,-0.001202026272859969,0
XOM,116.45,116.61,116.4,116.58,42938.0,429.0,116.468577,116.6959268678014,115.98205313219859,0.8376087226356443,55.12726841401716,57.675727337003714,63.77070792509409,116.26,-0.0027448962086120536,0
XOM,116.585,116.585,116.45,116.46,21113.0,318.0,116.502305,116.69345005064476,115.98252994935523,0.6716226616446634,49.08373276681041,48.69261507440254,63.94034065481925,116.36,-0.0008586639189420773,0
XOM,116.47,116.51,116.45,116.46,21090.0,372.0,116.490103,116.69095577180593,115.98302422819404,0.6737597386498791,49.08373276681041,50.131475355081264,66.27184068924637,116.41,-0.00042933195947103867,0
XOM,116.42,116.48,116.39,116.41,15942.0,349.0,116.424164,116.69776334692902,115.99421665307095,0.5909818787563277,46.614274619690455,48.24078818745056,62.53460304876619,116.44,0.00025770981874410394,0
XOM,116.43,116.565,116.4,116.54,10017.0,320.0,116.485967,116.7172991118469,116.00968088815307,0.7494424169556069,53.206175392418345,53.36437980718202,61.495152567017385,116.41,-0.0011154968251245036,0
XOM,116.54,116.54,116.44,116.51,9198.0,288.0,116.497785,116.73176725458437,116.02121274541561,0.687895507349889,51.622071974440786,58.24833142321516,54.69663871836574,116.485,-0.0002145738563213946,0
XOM,116.5,116.64,116.5,116.64,7680.0,268.0,116.567143,116.75655783724997,116.04692216274998,0.8357497495710072,57.523737188372216,61.53101173968849,62.158850732784686,116.41,-0.0019718792866941356,0
XOM,116.625,116.64,116.57,116.59,19343.0,306.0,116.611483,116.7666688212393,116.08181117876066,0.7420357016096061,54.75693705602903,54.72354294624059,61.77529081052665,116.26,-0.0028304314263658827,0
XOM,116.57,116.59,116.48,116.48,13020.0,270.0,116.548457,116.73789167459027,116.15558832540968,0.5571179953658688,49.15537591967589,52.47201733137017,57.795893280427535,116.23,-0.0021462912087912085,0
XOM,116.49,116.5,116.29,116.33,37953.0,423.0,116.393529,116.71137788680402,116.20410211319593,0.248184307932938,42.73530277805076,48.31775788499129,42.624999311178925,116.12,-0.0018052093183185227,0
XOM,116.32,116.3499,116.25,116.26,19288.0,323.0,116.288804,116.70328982501049,116.21819017498949,0.08618811621222072,40.10299181763276,46.63420147202702,34.0189880679795,116.03,-0.0019783244452090485,0
XOM,116.29,116.37,116.27,116.36,25591.0,255.0,116.32502,116.68926421445974,116.24621578554027,0.2568211667903454,45.28767497116374,47.29015776000616,33.24171913245107,116.03,-0.002836026125816417,0
XOM,116.345,116.41,116.24,116.41,24111.0,374.0,116.31701,116.66986330489337,116.28461669510665,0.3254624484891953,47.72420851892096,54.218370316334905,43.18161058048377,116.01,-0.003436130916587849,0
XOM,116.395,116.49,116.395,116.44,26232.0,286.0,116.442975,116.66753685953061,116.29446314046943,0.3901021489715241,49.18639631381437,48.888070740307846,53.1276894868859,116.01,-0.0036928890415664087,0
XOM,116.48,116.51,116.38,116.41,13975.0,187.0,116.426115,116.66450994665666,116.28749005334333,0.32494292431102145,47.748116241224935,46.166116611567226,42.707187792818424,115.94,-0.004037453826990799,0
XOM,116.39,116.51,116.39,116.485,53752.0,285.0,116.450149,116.66069584775168,116.28680415224831,0.5300889271821295,51.56152705601852,53.421828261122485,56.10784689730532,115.92,-0.004850409924024533,0
XOM,116.455,116.54,116.39,116.41,17254.0,193.0,116.43213,116.65077303377223,116.28172696622775,0.34758000437651937,47.80433330788868,53.4739074401524,56.842555567045736,115.88,-0.004552873464479006,0
XOM,116.4,116.4,116.25,116.26,17082.0,290.0,116.296732,116.64373071879315,116.25476928120686,0.013447910994988772,41.319387204101524,50.46888082323303,56.626002782099235,115.933,-0.002812661276449322,0
XOM,116.26,116.26,116.21,116.23,20702.0,230.0,116.242804,116.65267301863922,116.22082698136079,0.02124140977888058,40.146381322785565,45.87535515312822,51.36569667654511,115.9548,-0.0023677191774928857,0
XOM,116.23,116.24,116.12,116.12,14715.0,226.0,116.184932,116.67467660390184,116.16382339609817,-0.08578471355122326,36.09964118769547,33.9683063240459,50.45983254472951,115.94,-0.0015501205649328868,0
XOM,116.11,116.145,116.03,116.03,38217.0,538.0,116.100341,116.68730498635124,116.09619501364882,-0.11198426131468452,33.154937298579824,27.941351106743134,43.70503501452584,115.85,-0.0015513229337240956,0
